actual,predicted
14998.000000000002,14934.732
14931.0,14797.961
14727.999999999998,14596.084
14516.0,14349.626
14313.0,14106.078
14107.999999999998,13869.637
13880.0,13676.879
13821.999999999998,13620.081
13766.0,13726.154
14105.0,13855.257
14420.0,14159.118
14277.0,14367.843
13919.0,14078.214
13343.0,13326.393
12639.0,12519.665
12232.0,11958.524
11981.0,11667.5625
11950.0,11641.779
11872.0,11649.671
11909.0,11706.722
12253.0,12138.559
12715.0,13025.846
13283.0,13685.174
13686.0,13807.501
14931.0,14847.86
14727.999999999998,14594.341
14516.0,14314.345
14313.0,14046.079
14107.999999999998,13693.375
13880.0,13368.129
13821.999999999998,13291.025
13766.0,13465.54
14105.0,13791.844
14420.0,14030.762
14277.0,14160.626
13919.0,13922.578
13343.0,13202.965
12639.0,12417.544
12232.0,11866.79
11981.0,11589.892
11950.0,11525.362
11872.0,11584.998
11909.0,11645.913
12253.0,12024.423
12715.0,12878.72
13283.0,13583.213
13686.0,13767.788
13880.0,13726.919
14727.999999999998,14608.228
14516.0,14374.844
14313.0,14149.742
14107.999999999998,13877.042
13880.0,13530.535
13821.999999999998,13334.298
13766.0,13421.035
14105.0,13713.729
14420.0,14120.278
14277.0,14310.977
13919.0,14096.266
13343.0,13481.246
12639.0,12699.091
12232.0,12040.293
11981.0,11707.528
11950.0,11660.103
11872.0,11707.141
11909.0,11795.3955
12253.0,12091.217
12715.0,12768.488
13283.0,13492.492
13686.0,13855.82
13880.0,13897.591
13847.999999999998,13739.775
14516.0,14328.558
14313.0,14127.451
14107.999999999998,13926.963
13880.0,13711.929
13821.999999999998,13508.225
13766.0,13491.703
14105.0,13680.217
14420.0,13916.743
14277.0,14111.067
13919.0,13978.393
13343.0,13420.432
12639.0,12699.795
12232.0,12163.126
11981.0,11827.011
11950.0,11717.965
11872.0,11750.977
11909.0,11881.273
12253.0,12203.603
12715.0,12753.339
13283.0,13366.499
13686.0,13745.603
13880.0,13866.595
13847.999999999998,13795.893
13651.0,13500.285
14313.0,14240.012
14107.999999999998,13914.958
13880.0,13649.057
13821.999999999998,13589.685
13766.0,13592.221
14105.0,13668.593
14420.0,13888.47
14277.0,14009.354
13919.0,13815.655
13343.0,13288.094
12639.0,12625.6045
12232.0,12051.587
11981.0,11750.51
11950.0,11652.808
11872.0,11682.37
11909.0,11798.398
12253.0,12179.422
12715.0,12823.702
13283.0,13373.784
13686.0,13690.888
13880.0,13851.743
13847.999999999998,13844.039
13651.0,13593.648
13375.0,13225.365
14107.999999999998,14102.653
13880.0,13707.116
13821.999999999998,13468.178
13766.0,13558.876
14105.0,13729.066
14420.0,13841.496
14277.0,13953.03
13919.0,13846.294
13343.0,13331.651
12639.0,12593.507
12232.0,11997.17
11981.0,11669.873
11950.0,11566.661
11872.0,11551.974
11909.0,11688.478
12253.0,12037.358
12715.0,12658.273
13283.0,13344.719
13686.0,13711.564
13880.0,13785.259
13847.999999999998,13750.307
13651.0,13581.598
13375.0,13233.391
13194.0,12867.147
13880.0,13868.891
13821.999999999998,13622.618
13766.0,13575.429
14105.0,13744.004
14420.0,13986.897
14277.0,14080.04
13919.0,13904.667
13343.0,13420.189
12639.0,12741.311
12232.0,12077.588
11981.0,11661.229
11950.0,11563.477
11872.0,11632.971
11909.0,11656.323
12253.0,11942.064
12715.0,12583.803
13283.0,13261.514
13686.0,13677.724
13880.0,13779.786
13847.999999999998,13695.258
13651.0,13482.21
13375.0,13200.54
13194.0,12901.822
12823.0,12604.634
13821.999999999998,13674.328
13766.0,13667.413
14105.0,13869.409
14420.0,14057.549
14277.0,14147.138
13919.0,13979.568
13343.0,13491.375
12639.0,12808.708
12232.0,12193.558
11981.0,11785.768
11950.0,11593.666
11872.0,11618.447
11909.0,11798.608
12253.0,11991.079
12715.0,12499.266
13283.0,13216.965
13686.0,13688.583
13880.0,13788.102
13847.999999999998,13700.977
13651.0,13528.621
13375.0,13239.235
13194.0,12939.991
12823.0,12704.987
12704.0,12483.907
13766.0,13824.2295
14105.0,13965.237
14420.0,14255.574
14277.0,14365.04
13919.0,14098.733
13343.0,13498.584
12639.0,12875.787
12232.0,12354.519
11981.0,11953.006
11950.0,11732.946
11872.0,11676.622
11909.0,11774.9795
12253.0,12103.817
12715.0,12590.247
13283.0,13231.65
13686.0,13711.522
13880.0,13866.479
13847.999999999998,13783.022
13651.0,13587.088
13375.0,13361.773
13194.0,13111.249
12823.0,12856.615
12704.0,12692.028
12547.0,12633.937
14105.0,13963.856
14420.0,14185.149
14277.0,14383.6875
13919.0,14214.463
13343.0,13569.81
12639.0,12773.391
12232.0,12268.637
11981.0,12008.826
11950.0,11797.871
11872.0,11648.922
11909.0,11708.543
12253.0,12061.538
12715.0,12648.782
13283.0,13179.678
13686.0,13618.207
13880.0,13822.553
13847.999999999998,13812.066
13651.0,13630.031
13375.0,13378.371
13194.0,13161.756
12823.0,12988.41
12704.0,12817.264
12547.0,12790.055
12622.0,12854.353
14420.0,14446.499
14277.0,14460.044
13919.0,14255.798
13343.0,13743.831
12639.0,12970.476
12232.0,12321.652
11981.0,12071.855
11950.0,12005.831
11872.0,11925.049
11909.0,11915.59
12253.0,12195.752
12715.0,12808.369
13283.0,13467.21
13686.0,13784.936
13880.0,13899.115
13847.999999999998,13870.588
13651.0,13740.442
13375.0,13514.814
13194.0,13280.048
12823.0,13103.6
12704.0,12988.836
12547.0,12881.735
12622.0,13011.498
12910.0,13354.862
14277.0,14393.341
13919.0,13974.264
13343.0,13475.048
12639.0,12903.67
12232.0,12296.361
11981.0,11943.573
11950.0,11912.789
11872.0,11926.765
11909.0,11972.509
12253.0,12208.822
12715.0,12752.3
13283.0,13426.654
13686.0,13875.468
13880.0,13884.517
13847.999999999998,13770.429
13651.0,13632.559
13375.0,13440.555
13194.0,13185.979
12823.0,12979.422
12704.0,12873.763
12547.0,12867.235
12622.0,12954.327
12910.0,13367.851
13059.0,13814.004
13919.0,13811.623
13343.0,13181.403
12639.0,12625.445
12232.0,12165.128
11981.0,11825.165
11950.0,11689.427
11872.0,11684.619
11909.0,11762.037
12253.0,12071.526
12715.0,12602.547
13283.0,13227.582
13686.0,13685.354
13880.0,13821.679
13847.999999999998,13674.116
13651.0,13546.857
13375.0,13412.308
13194.0,13171.241
12823.0,12907.363
12704.0,12768.806
12547.0,12750.846
12622.0,12867.457
12910.0,13234.524
13059.0,13743.183
12896.0,13847.811
13343.0,13209.188
12639.0,12490.05
12232.0,11999.749
11981.0,11730.947
11950.0,11583.773
11872.0,11547.57
11909.0,11638.802
12253.0,11977.937
12715.0,12601.477
13283.0,13222.172
13686.0,13605.502
13880.0,13726.071
13847.999999999998,13661.398
13651.0,13474.799
13375.0,13303.283
13194.0,13141.446
12823.0,12922.93
12704.0,12748.971
12547.0,12728.2295
12622.0,12929.177
12910.0,13296.894
13059.0,13666.486
12896.0,13773.661
12602.0,13459.868
12639.0,12560.287
12232.0,11927.886
11981.0,11619.476
11950.0,11502.144
11872.0,11481.662
11909.0,11605.741
12253.0,11918.538
12715.0,12484.953
13283.0,13196.478
13686.0,13631.024
13880.0,13682.692
13847.999999999998,13604.152
13651.0,13493.773
13375.0,13282.123
13194.0,13070.721
12823.0,12938.497
12704.0,12778.259
12547.0,12708.427
12622.0,12899.697
12910.0,13369.507
13059.0,13747.737
12896.0,13780.895
12602.0,13492.148
12183.0,12922.013
12232.0,11932.729
11981.0,11515.597
11950.0,11402.542
11872.0,11396.822
11909.0,11523.828
12253.0,11908.034
12715.0,12467.391
13283.0,13061.297
13686.0,13577.57
13880.0,13759.126
13847.999999999998,13629.674
13651.0,13454.873
13375.0,13310.371
13194.0,13098.414
12823.0,12886.733
12704.0,12770.231
12547.0,12737.923
12622.0,12916.445
12910.0,13297.137
13059.0,13728.855
